,id_aeroporto,data,D_data,A_effettoSulVolo,id_specie_volatile_d,id_gruppo,D_numeroVolatili
4830,7,2019-02-13 00:00:00,2019-02-13 13:39:00,,7,6.0,1.0
4832,7,2019-02-16 00:00:00,2019-02-16 10:41:00,,196,5.0,1.0
4838,7,2019-02-23 00:00:00,2019-02-23 07:45:00,,2,7.0,2.0
4880,7,2019-04-12 11:30:24,2019-04-12 11:30:24,,13,12.0,1.0
4901,7,2019-04-24 00:00:00,2019-04-24 07:43:00,,7,6.0,1.0
4907,7,2019-04-26 07:14:09,2019-04-26 07:14:09,,31,17.0,1.0
4940,7,2019-05-06 09:03:45,2019-05-06 09:03:45,,13,12.0,1.0
4942,7,2019-05-06 14:39:00,2019-05-06 14:39:00,,13,12.0,1.0
4944,7,2019-05-08 13:08:23,2019-05-08 13:08:23,,2,7.0,1.0
4953,7,2019-05-12 12:27:20,2019-05-12 12:27:20,,13,12.0,1.0
